1	-5	0
2	-5	0.5
3	-5	1.
4	-5	1.5
5	-5	2.
6	-5	2.5
7	-5	3.
8	-5	3.5
9	-5	4.
10	-5	5.
11	-4.	0
12	-4.	0.5
13	-4.	1.
14	-4.	1.5
15	-4.	2.
16	-4.	2.5
17	-4.	3.
18	-4.	3.5
19	-4.	4.
20	-4.	5.
21	-3.	0
22	-3.	0.5
23	-3.	1.
24	-3.	1.5
25	-3.	2.
26	-3.	2.5
27	-3.	3.
28	-3.	3.5
29	-3.	4.
30	-3.	5.
31	-2.	0
32	-2.	0.5
33	-2.	1.
34	-2.	1.5
35	-2.	2.
36	-2.	2.5
37	-2.	3.
38	-2.	3.5
39	-2.	4.
40	-2.	5.
41	-1.	0
42	-1.	0.5
43	-1.	1.
44	-1.	1.5
45	-1.	2.
46	-1.	2.5
47	-1.	3.
48	-1.	3.5
49	-1.	4.
50	-1.	5.
51	-0.5	0
52	-0.5	0.5
53	-0.5	1.
54	-0.5	1.5
55	-0.5	2.
56	-0.5	2.5
57	-0.5	3.
58	-0.5	3.5
59	-0.5	4.
60	-0.5	5.
61	0.	0
62	0.	0.5
63	0.	1.
64	0.	1.5
65	0.	2.
66	0.	2.5
67	0.	3.
68	0.	3.5
69	0.	4.
70	0.	5.
71	0.5	2.
72	0.5	2.5
73	0.5	3.
74	0.5	3.5
75	0.5	4.
76	0.5	5.
77	1.	2.
78	1.	2.5
79	1.	3.
80	1.	3.5
81	1.	4.
82	1.	5.
83	1.5	2.
84	1.5	2.5
85	1.5	3.
86	1.5	3.5
87	1.5	4.
88	1.5	5.
89	2.	0
90	2.	0.5
91	2.	1.
92	2.	1.5
93	2.	2.
94	2.	2.5
95	2.	3.
96	2.	3.5
97	2.	4.
98	2.	5.
99	2.5	0
100	2.5	0.5
101	2.5	1.
102	2.5	1.5
103	2.5	2.
104	2.5	2.5
105	2.5	3.
106	2.5	3.5
107	2.5	4.
108	2.5	5.
109	3.	0
110	3.	0.5
111	3.	1.
112	3.	1.5
113	3.	2.
114	3.	2.5
115	3.	3.
116	3.	3.5
117	3.	4.
118	3.	5.
119	3.5	0
120	3.5	0.5
121	3.5	1.
122	3.5	1.5
123	3.5	2.
124	3.5	2.5
125	3.5	3.
126	3.5	3.5
127	3.5	4.
128	3.5	5.
129	4.5	0
130	4.5	0.5
131	4.5	1.
132	4.5	1.5
133	4.5	2.
134	4.5	2.5
135	4.5	3.
136	4.5	3.5
137	4.5	4.
138	4.5	5.
139	5.5	0
140	5.5	0.5
141	5.5	1.
142	5.5	1.5
143	5.5	2.
144	5.5	2.5
145	5.5	3.
146	5.5	3.5
147	5.5	4.
148	5.5	5.
149	6.5	0
150	6.5	0.5
151	6.5	1.
152	6.5	1.5
153	6.5	2.
154	6.5	2.5
155	6.5	3.
156	6.5	3.5
157	6.5	4.
158	6.5	5.
159	7.5	0
160	7.5	0.5
161	7.5	1.
162	7.5	1.5
163	7.5	2.
164	7.5	2.5
165	7.5	3.
166	7.5	3.5
167	7.5	4.
168	7.5	5.
169	8.5	0
170	8.5	0.5
171	8.5	1.
172	8.5	1.5
173	8.5	2.
174	8.5	2.5
175	8.5	3.
176	8.5	3.5
177	8.5	4.
178	8.5	5.
179	9.5	0
180	9.5	0.5
181	9.5	1.
182	9.5	1.5
183	9.5	2.
184	9.5	2.5
185	9.5	3.
186	9.5	3.5
187	9.5	4.
188	9.5	5.
