1	1	11	12	2
2	2	12	13	3
3	3	13	14	4
4	4	14	15	5
5	5	15	16	6
6	6	16	17	7
7	7	17	18	8
8	8	18	19	9
9	9	19	20	10
10	11	21	22	12
11	12	22	23	13
12	13	23	24	14
13	14	24	25	15
14	15	25	26	16
15	16	26	27	17
16	17	27	28	18
17	18	28	29	19
18	19	29	30	20
19	21	31	32	22
20	22	32	33	23
21	23	33	34	24
22	24	34	35	25
23	25	35	36	26
24	26	36	37	27
25	27	37	38	28
26	28	38	39	29
27	29	39	40	30
28	31	41	42	32
29	32	42	43	33
30	33	43	44	34
31	34	44	45	35
32	35	45	46	36
33	36	46	47	37
34	37	47	48	38
35	38	48	49	39
36	39	49	50	40
37	41	51	52	42
38	42	52	53	43
39	43	53	54	44
40	44	54	55	45
41	45	55	56	46
42	46	56	57	47
43	47	57	58	48
44	48	58	59	49
45	49	59	60	50
46	51	61	62	52
47	52	62	63	53
48	53	63	64	54
49	54	64	65	55
50	55	65	66	56
51	56	66	67	57
52	57	67	68	58
53	58	68	69	59
54	59	69	70	60
55	65	71	72	66
56	66	72	73	67
57	67	73	74	68
58	68	74	75	69
59	69	75	76	70
60	71	77	78	72
61	72	78	79	73
62	73	79	80	74
63	74	80	81	75
64	75	81	82	76
65	77	83	84	78
66	78	84	85	79
67	79	85	86	80
68	80	86	87	81
69	81	87	88	82
70	83	93	94	84
71	84	94	95	85
72	85	95	96	86
73	86	96	97	87
74	87	97	98	88
75	89	99	100	90
76	90	100	101	91
77	91	101	102	92
78	92	102	103	93
79	93	103	104	94
80	94	104	105	95
81	95	105	106	96
82	96	106	107	97
83	97	107	108	98
84	99	109	110	100
85	100	110	111	101
86	101	111	112	102
87	102	112	113	103
88	103	113	114	104
89	104	114	115	105
90	105	115	116	106
91	106	116	117	107
92	107	117	118	108
93	109	119	120	110
94	110	120	121	111
95	111	121	122	112
96	112	122	123	113
97	113	123	124	114
98	114	124	125	115
99	115	125	126	116
100	116	126	127	117
101	117	127	128	118
102	119	129	130	120
103	120	130	131	121
104	121	131	132	122
105	122	132	133	123
106	123	133	134	124
107	124	134	135	125
108	125	135	136	126
109	126	136	137	127
110	127	137	138	128
111	129	139	140	130
112	130	140	141	131
113	131	141	142	132
114	132	142	143	133
115	133	143	144	134
116	134	144	145	135
117	135	145	146	136
118	136	146	147	137
119	137	147	148	138
120	139	149	150	140
121	140	150	151	141
122	141	151	152	142
123	142	152	153	143
124	143	153	154	144
125	144	154	155	145
126	145	155	156	146
127	146	156	157	147
128	147	157	158	148
129	149	159	160	150
130	150	160	161	151
131	151	161	162	152
132	152	162	163	153
133	153	163	164	154
134	154	164	165	155
135	155	165	166	156
136	156	166	167	157
137	157	167	168	158
138	159	169	170	160
139	160	170	171	161
140	161	171	172	162
141	162	172	173	163
142	163	173	174	164
143	164	174	175	165
144	165	175	176	166
145	166	176	177	167
146	167	177	178	168
147	169	179	180	170
148	170	180	181	171
149	171	181	182	172
150	172	182	183	173
151	173	183	184	174
152	174	184	185	175
153	175	185	186	176
154	176	186	187	177
155	177	187	188	178
